440000,.,0,.,0,0,250,30,0.0065,.,9,1180,8,4396000,DIRECCION OFICIAL,4396000,4396000,0,.,4396000,4396000,0,2016201011620311808,676278000,4396000,629200,3956000,15/04/2016,01/07/2016,.,0,1727256,.,0,142814337,25/01/2016 05:24:18 p.m.,,546.13,.,1,0,0,1,.,.,4836000,4396000,.,440000,440000,4396000,4396000,.,66-DOTACIONALES,
169000,.,149000,.,0,0,24,30,0.0075,.,9,1180,58,1688000,SOPORTE PREDIAL,1688000,1688000,4,.,1688000,1688000,0,2016201011612148224,244941000,1688000,650981,1519000,15/04/2016,01/07/2016,.,0,2922877,.,0,141968346,25/01/2016 09:33:37 p.m.,25/03/2015,74.5,.,1,0,0,1,.,.,1857000,1688000,.,169000,169000,1688000,1688000,.,61-RESIDENCIALES URBANOS Y RURALES,
18000,.,89000,.,458000,458000,122,50,0.006,.,9,1180,9,633000,SOPORTE PREDIAL,175000,175000,2,.,175000,175000,0,2016201011623942912,120406000,175000,1321505,157000,15/04/2016,01/07/2016,.,0,8768927,.,0,143202787,25/01/2016 10:29:33 p.m.,06/05/2015,174.3,.,1,0,0,1,.,.,193000,175000,.,18000,18000,175000,175000,.,61-RESIDENCIALES URBANOS Y RURALES,
146000,.,89000,.,0,0,119,20,0.006,.,9,1180,101,1459000,SOPORTE PREDIAL,1459000,1459000,3,.,1459000,1459000,0,2016201011604017664,258020000,1459000,432057,1313000,15/04/2016,01/07/2016,.,0,1772422,.,0,141116139,26/01/2016 07:48:31 a.m.,09/04/2015,345.3,.,1,0,0,1,.,.,1605000,1459000,.,146000,146000,1459000,1459000,.,61-RESIDENCIALES URBANOS Y RURALES,
63000,.,0,.,0,0,33,88,0.008,.,9,1180,62,627000,SOPORTE PREDIAL,627000,627000,0,.,627000,627000,0,2016201011616371968,78403000,627000,4699995,564000,15/04/2016,01/07/2016,.,0,1244079,.,0,142395068,25/01/2016 04:12:45 p.m.,10/04/2014,33.9,.,1,0,0,1,.,.,690000,627000,.,63000,63000,627000,627000,.,62-COMERCIALES URBANOS Y RURALES,
96000,.,149000,.,0,0,23,30,0.0075,.,9,1180,4,959000,SOPORTE PREDIAL,959000,959000,4,.,959000,959000,0,2016201011600938752,147717000,959000,2029683,863000,15/04/2016,01/07/2016,.,0,9013642,.,0,140787659,25/01/2016 11:02:12 p.m.,30/04/2015,67.8,.,1,0,0,1,.,.,1055000,959000,.,96000,96000,959000,959000,.,61-RESIDENCIALES URBANOS Y RURALES,
0,0,.,31/12/2016,0,0,,0,0,2,1180,120,0,,0,0,1,0,0,0,.,2016201021607893504,7235000,0,180442,0,15/04/2016,01/07/2016,0,0,9823201,0,800,141521939,26/01/2016 08:31:14 a.m.,,.,0,1,0,0,2,0,0,0,0,0,0,0,0,0,.,0,
13000,.,89000,.,519000,519000,96,00,0.006,.,9,1180,101,651000,,132000,132000,2,.,132000,132000,0,2016201011605307904,123254000,132000,.,119000,15/04/2016,01/07/2016,.,0,1131790,.,0,141247819,26/01/2016 07:29:04 a.m.,,220.35,.,1,0,0,1,.,.,145000,132000,.,13000,13000,132000,132000,.,61-RESIDENCIALES URBANOS Y RURALES,
2000,0,.,31/12/2016,0,0,,0.002,48000,9,1180,46,24000,944,24000,24000,2,48000,24000,24000,.,2016201021610821376,11786000,24000,2967367,22000,15/04/2016,01/07/2016,0,0,9152334,48000,0,141831188,26/01/2016 02:12:12 a.m.,,.,24000,1,0,0,2,24000,50000,26000,24000,2000,2000,2000,24000,24000,.,0,
5000,.,0,.,55000,55000,8,83,0.008,.,9,1180,44,104000,SOPORTE PREDIAL,49000,49000,4,.,49000,49000,0,2016201011621938688,12964000,49000,678900,44000,15/04/2016,01/07/2016,.,0,9089298,.,0,142979409,26/01/2016 12:17:15 a.m.,01/04/2015,10.1,.,1,0,0,1,.,.,54000,49000,.,5000,5000,49000,49000,.,65-DEPOSITOS Y PARQUEADEROS,
33000,.,89000,.,151000,151000,45,70,0.006,.,9,1180,27,479000,SOPORTE PREDIAL,328000,328000,3,.,328000,328000,0,2016201011621204224,94608000,328000,303707,295000,15/04/2016,01/07/2016,.,0,1481638,.,0,142903770,25/01/2016 06:56:25 p.m.,19/06/2015,57.2,.,1,0,0,1,.,.,361000,328000,.,33000,33000,328000,328000,.,61-RESIDENCIALES URBANOS Y RURALES,
41000,.,89000,.,0,0,35,77,0.006,.,9,1180,65,412000,DIRECCION OFICIAL,412000,412000,3,.,412000,412000,0,2016201011618791936,83465000,412000,12615627,371000,15/04/2016,01/07/2016,.,0,9102617,.,0,142647035,26/01/2016 04:52:32 a.m.,,55.8,.,1,0,0,1,.,.,453000,412000,.,41000,41000,412000,412000,.,61-RESIDENCIALES URBANOS Y RURALES,
90000,.,149000,.,0,0,20,42,0.0075,.,3,1180,74,900000,SOPORTE PREDIAL,900000,900000,4,.,900000,900000,0,2016201011624442624,139932000,900000,3291670,810000,15/04/2016,01/07/2016,.,0,9383587,.,0,143252817,26/01/2016 02:57:36 a.m.,30/03/2015,53.34,.,1,0,0,1,.,.,990000,900000,.,90000,90000,900000,900000,.,61-RESIDENCIALES URBANOS Y RURALES,
127000,.,149000,.,0,0,37,26,0.0075,.,9,1180,80,1268000,SOPORTE PREDIAL,1268000,1268000,4,.,1268000,1268000,0,2016201011600369920,188943000,1268000,4690370,1141000,15/04/2016,01/07/2016,.,0,9429670,.,0,140691358,26/01/2016 02:04:33 a.m.,20/06/2014,79.24,.,1,0,0,1,.,.,1395000,1268000,.,127000,127000,1268000,1268000,.,61-RESIDENCIALES URBANOS Y RURALES,
23000,.,89000,.,69000,69000,23,17,0.006,.,9,1180,15,294000,SOPORTE PREDIAL,225000,225000,3,.,225000,225000,0,2016201011608497408,63843000,225000,5090643,202000,15/04/2016,01/07/2016,.,0,9298728,.,0,141585204,25/01/2016 11:51:33 a.m.,09/04/2015,44.36,.,1,0,0,1,.,.,248000,225000,.,23000,23000,225000,225000,.,61-RESIDENCIALES URBANOS Y RURALES,
11000,.,0,.,0,0,2,76,0.008,.,9,1180,99,114000,SOPORTE PREDIAL,114000,114000,4,.,114000,114000,0,2016201011621075456,14214000,114000,2120190,103000,15/04/2016,01/07/2016,.,0,9783238,.,0,142890892,25/01/2016 07:31:38 p.m.,01/04/2015,10.84,.,1,0,0,1,.,.,125000,114000,.,11000,11000,114000,114000,.,65-DEPOSITOS Y PARQUEADEROS,
2000,.,0,.,0,0,72,00,0.004,.,3,1180,22,17000,,17000,17000,0,.,17000,17000,0,2016201011600214784,4147000,17000,2974800,15000,15/04/2016,01/07/2016,.,0,9342799,.,0,140675845,26/01/2016 02:33:08 a.m.,,0,.,1,0,0,1,.,.,19000,17000,.,2000,2000,17000,17000,.,70-NO URBANIZABLES,
7000,0,.,31/12/2016,9000,9000,,0.002,156000,9,1180,8,78000,,69000,69000,2,156000,69000,69000,.,2016201021604547072,39097000,69000,1573980,62000,15/04/2016,01/07/2016,0,0,8219,156000,0,141169150,26/01/2016 02:10:03 a.m.,,.,78000,1,0,0,2,78000,164000,76000,69000,8000,7000,7000,69000,69000,.,0,
0,0,.,31/12/2016,0,0,,0,0,2,1180,14,0,,0,0,1,0,0,0,.,2016201021611814656,7322000,0,3041849,0,15/04/2016,01/07/2016,0,0,8663289,0,800,141933931,25/01/2016 05:09:57 p.m.,,.,0,1,0,0,2,0,0,0,0,0,0,0,0,0,.,0,
0,.,.,.,0,0,34,50,0.002,.,9,1180,2,0,,0,0,2,.,0,0,100,2016201011611135232,61303000,0,6471072,0,15/04/2016,01/07/2016,.,0,7586280,.,830,141862620,25/01/2016 11:01:02 p.m.,,54.77,.,1,0,0,1,.,.,0,0,.,0,0,0,0,.,61-RESIDENCIALES URBANOS Y RURALES,
11000,.,0,.,0,0,2,47,0.008,.,3,1180,96,111000,SOPORTE PREDIAL,111000,111000,4,.,111000,111000,0,2016201011609040128,13889000,111000,15488277,100000,15/04/2016,01/07/2016,.,0,9865696,.,0,141649430,26/01/2016 04:53:17 a.m.,19/06/2015,11.03,.,1,0,0,1,.,.,122000,111000,.,11000,11000,111000,111000,.,65-DEPOSITOS Y PARQUEADEROS,
53000,.,0,.,0,0,86,38,0.008,.,9,1180,91,529000,SOPORTE PREDIAL,529000,529000,0,.,529000,529000,0,2016201011620571904,66100000,529000,7419079,476000,15/04/2016,01/07/2016,.,0,7861760,.,0,142840488,25/01/2016 11:54:20 p.m.,19/06/2014,22.62,.,1,0,0,1,.,.,582000,529000,.,53000,53000,529000,529000,.,62-COMERCIALES URBANOS Y RURALES,
322000,.,119000,.,0,0,54,08,0.0095,.,9,1180,45,3218000,SOPORTE PREDIAL,3218000,3218000,0,.,3218000,3218000,0,2016201011606394368,351215000,3218000,459394,2896000,15/04/2016,01/07/2016,.,0,8974627,.,0,141370381,25/01/2016 09:13:01 p.m.,07/04/2015,34,.,1,0,0,1,.,.,3540000,3218000,.,322000,322000,3218000,3218000,.,62-COMERCIALES URBANOS Y RURALES,
23000,.,0,.,3000,3000,6,91,0.008,.,9,1180,32,232000,SOPORTE PREDIAL,229000,229000,5,.,229000,229000,0,2016201011623821056,29014000,229000,1204086,206000,15/04/2016,01/07/2016,.,0,8983153,.,0,143190585,26/01/2016 03:01:06 a.m.,16/03/2015,23.1,.,1,0,0,1,.,.,252000,229000,.,23000,23000,229000,229000,.,65-DEPOSITOS Y PARQUEADEROS,
16000,.,89000,.,220000,220000,72,08,0.006,.,9,1180,95,379000,SOPORTE PREDIAL,159000,159000,2,.,159000,159000,0,2016201011600247808,77937000,159000,305529,143000,15/04/2016,01/07/2016,.,0,9798376,.,0,140679132,26/01/2016 12:21:58 a.m.,26/03/2015,135.13,.,1,0,0,1,.,.,175000,159000,.,16000,16000,159000,159000,.,61-RESIDENCIALES URBANOS Y RURALES,
